Section_ID,Course_Mnemonic,Course_Title,Instructor,Room,Days,Start_Time,End_Time
19618,DS 5220,Advanced Cloud Computing,Neal Magee,SDS 205,"Mo,We,Fr",1900-01-01 12:00:00,1900-01-01 12:50:00
18929,DS 6001,Data Engineering I: Data Pipeline Architecture,Jonathan Kropko,VIRTUAL,Tu,1900-01-01 20:30:00,1900-01-01 21:30:00
18930,DS 6002,Ethics of Big Data I,Farhana Faruqe,SDS 306,"Tu,Th",1900-01-01 09:30:00,1900-01-01 10:45:00
18934,DS 6002,Ethics of Big Data I,Farhana Faruqe,SDS 306,"Tu,Th",1900-01-01 11:00:00,1900-01-01 12:15:00
18935,DS 6002,Ethics of Big Data I,Renee Cummings,VIRTUAL,Th,1900-01-01 18:00:00,1900-01-01 19:00:00
18936,DS 6002,Ethics of Big Data I,Renee Cummings,VIRTUAL,Th,1900-01-01 18:00:00,1900-01-01 19:00:00
18932,DS 6015,Data Science Capstone,Philip Waggoner,VIRTUAL,Th,1900-01-01 19:15:00,1900-01-01 21:15:00
18939,DS 6015,Data Science Capstone,Rafael Alvarado,VIRTUAL,Th,1900-01-01 19:15:00,1900-01-01 21:15:00
18940,DS 6015,Data Science Capstone,Adam Tashman,VIRTUAL,Th,1900-01-01 19:15:00,1900-01-01 21:15:00
18931,DS 6021,Machine Learning I: Intro to Predictive Modeling,Jeffrey Woo,VIRTUAL,We,1900-01-01 19:15:00,1900-01-01 20:15:00
18933,DS 6030,Machine Learning II: Data Mining & Statistical Learning,Michael Porter,SDS 206,"Tu,Th",1900-01-01 09:30:00,1900-01-01 10:45:00
18941,DS 6030,Machine Learning II: Data Mining & Statistical Learning,Michael Porter,SDS 206,"Tu,Th",1900-01-01 11:00:00,1900-01-01 12:15:00
15307,DS 6050,Machine Learning III: Deep Learning,Tom Hartvigsen,SDS 306,"Mo,We,Fr",1900-01-01 10:00:00,1900-01-01 10:50:00
18937,DS 6050,Machine Learning III: Deep Learning,Tom Hartvigsen,SDS 306,"Mo,We,Fr",1900-01-01 11:00:00,1900-01-01 11:50:00
18938,DS 6050,Machine Learning III: Deep Learning,Heman Shakeri,VIRTUAL,We,1900-01-01 19:15:00,1900-01-01 20:15:00
15266,DS 6210,Computation II: Numerical Analysis & Optimization,Heman Shakeri,SDS 246,"Mo,We",1900-01-01 12:30:00,1900-01-01 13:45:00
15267,DS 6310,Theory II: Inference & Prediction,Jordan Bryan; Thomas Stewart,SDS 246,"Tu,Th",1900-01-01 09:30:00,1900-01-01 10:45:00
20445,DS 6404,Physics-Aware Deep Learning,Stephen Baek,SDS 246,"Tu,Th",1900-01-01 11:00:00,1900-01-01 12:15:00
15268,DS 6410,Advanced Machine Learning II: Methods & Application,Aiying Zhang,SDS 246,"Mo,We",1900-01-01 09:30:00,1900-01-01 10:45:00
20793,DS 6425,Time Series Modeling,Don Brown,SDS 246,"Mo,We",1900-01-01 14:00:00,1900-01-01 15:15:00
15265,DS 6700,"Value I: Data Ethics, Policy and Governance",Jess Reia,SDS 246,"Mo,We",1900-01-01 15:30:00,1900-01-01 16:45:00
20099,DS 7600,Design I: Human-Centered Design,Nur Yildirim,SDS 206,"Tu,Th",1900-01-01 14:00:00,1900-01-01 15:15:00
19622,DS 8104,Network Science,Alex Gates,SDS 246,"Tu,Th",1900-01-01 15:30:00,1900-01-01 16:45:00
